GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,ChatClient2.new WebSocketClient() {...},118,0,0,0,23,0,5,0,5,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,ChatClient2.new WindowAdapter() {...},18,0,2,0,5,0,3,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,TcpIpMultichatClient.ClientSender,46,0,4,0,13,0,4,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,TcpIpMultichatClient,51,0,2,0,14,0,3,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,ChatClient.new WebSocketClient() {...},118,0,0,0,23,0,5,0,5,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,ChatClient.new WindowAdapter() {...},18,0,2,0,5,0,3,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,TcpIpMultichatClient.ClientReceiver,27,0,2,0,9,0,3,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,BufferedReaderEx,34,0,2,0,10,0,3,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,ChatClient2,252,0,10,0,59,0,8,0,3,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,TwootrServer,87,0,0,0,24,0,7,0,7,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,TcpIpMultichatServer.ServerReceiver,90,0,2,0,19,0,3,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,ChatServer,124,0,4,0,43,0,12,0,10,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,TcpIpMultichatServer,74,0,2,0,24,0,5,0,4,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,ChatClient,252,0,10,0,59,0,8,0,3,0
shu_book,com.iteratrlearning.shu_book.chapter_06.web_adapter,WebSocketEndPoint,152,0,7,0,35,0,11,0,6,0
shu_book,com.iteratrlearning.shu_book,App,7,0,0,0,3,0,2,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_06.in_memory,InMemoryTwootRepository,35,88,8,2,10,26,5,10,1,9
shu_book,com.iteratrlearning.shu_book.chapter_06.in_memory,InMemoryUserRepository,0,36,0,2,0,9,0,8,0,7
shu_book,com.iteratrlearning.shu_book.chapter_02,BankStatementDAO,19,0,0,0,5,0,5,0,5,0
shu_book,com.iteratrlearning.shu_book.chapter_02,BankStatementProcessor,79,0,10,0,20,0,9,0,4,0
shu_book,com.iteratrlearning.shu_book.chapter_02,BankTransaction,67,21,12,0,8,8,9,4,3,4
shu_book,com.iteratrlearning.shu_book.chapter_02,BankStatementFullParser,15,0,0,0,4,0,4,0,4,0
shu_book,com.iteratrlearning.shu_book.chapter_02,BankStatementAnalyzer,48,0,0,0,16,0,3,0,3,0
shu_book,com.iteratrlearning.shu_book.chapter_02,BankStatementAnalyzerProblematic,86,0,6,0,21,0,6,0,3,0
shu_book,com.iteratrlearning.shu_book.chapter_02,BankStatementAnalyzerSimple,45,0,2,0,11,0,3,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_02,BankStatementAnalyzerSRP,55,0,0,0,12,0,5,0,5,0
shu_book,com.iteratrlearning.shu_book.chapter_02,MainApplication,16,0,0,0,5,0,2,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_02,BankStatementCSVParser,9,31,0,0,1,6,1,3,1,3
shu_book,com.iteratrlearning.shu_book.chapter_06.database,StatementRunner,6,54,0,2,2,18,0,8,0,7
shu_book,com.iteratrlearning.shu_book.chapter_06.database,DatabaseConnection,9,10,0,0,3,4,1,2,1,2
shu_book,com.iteratrlearning.shu_book.chapter_06.database,DatabaseTwootRepository,31,190,3,5,7,50,3,15,1,13
shu_book,com.iteratrlearning.shu_book.chapter_06.database,DatabaseUserRepository,6,230,1,5,2,61,1,16,0,14
shu_book,com.iteratrlearning.shu_book.chapter_05,Rule,19,0,2,0,7,0,3,0,2,0
shu_book,com.iteratrlearning.shu_book.chapter_05,Inspector,0,40,0,2,0,10,0,3,0,2
shu_book,com.iteratrlearning.shu_book.chapter_05,RuleBuilder,18,0,0,0,5,0,3,0,3,0
shu_book,com.iteratrlearning.shu_book.chapter_05,Stage,27,0,0,0,2,0,1,0,1,0
shu_book,com.iteratrlearning.shu_book.chapter_05,BusinessRuleEngine,28,0,0,0,8,0,4,0,4,0
shu_book,com.iteratrlearning.shu_book.chapter_05,Main,46,0,0,0,14,0,4,0,4,0
shu_book,com.iteratrlearning.shu_book.chapter_05,SwitchExpressions,31,0,5,0,10,0,6,0,2,0
